"Gene"	"BaseGeneMean"	"OutlierFactor"	"GeneMean"	"BatchFacBatch1"	"BatchFacBatch2"	"DEFacGroup1"	"DEFacGroup2"
"Gene1"	"Gene1"	0.552421184045205	1	0.552421184045205	1.15587924101798	1.02969815946034	1	1
"Gene2"	"Gene2"	0.168378462018241	1	0.168378462018241	1.15951059126286	1.22078076512872	1	1
"Gene3"	"Gene3"	5.88176303127247	1	5.88176303127247	1.07158868067491	1.1744919347304	1	1
"Gene4"	"Gene4"	4.81099771650078	1	4.81099771650078	0.862600034778074	0.822883600014919	1	1
"Gene5"	"Gene5"	0.504519593064801	1	0.504519593064801	1.13438486842956	0.880094764484068	1	1
"Gene6"	"Gene6"	0.848756303064251	1	0.848756303064251	1.24624678870512	1.09641249115086	1	2.02354329738539
"Gene7"	"Gene7"	0.783696315639925	1	0.783696315639925	0.972046694102023	0.996847173442413	1	1
"Gene8"	"Gene8"	0.120123222442225	1	0.120123222442225	0.815299847455045	0.851893107304384	1	1
"Gene9"	"Gene9"	0.071068705614199	1	0.071068705614199	0.930822137361628	0.872519567965523	1	1
"Gene10"	"Gene10"	0.524782814129122	1	0.524782814129122	0.98976802870561	1.06936126419638	1	1
"Gene11"	"Gene11"	0.0404602253289015	1	0.0404602253289015	1.05770727877168	1.11422415082409	1	1
"Gene12"	"Gene12"	5.53280506079062	1	5.53280506079062	0.790536720883991	0.931463980610223	1	1
"Gene13"	"Gene13"	0.814886173871792	1	0.814886173871792	0.984373708985174	0.916779787726115	1	1
"Gene14"	"Gene14"	0.0180361183735553	1	0.0180361183735553	1.20250554457734	1.3563121566975	1	1
"Gene15"	"Gene15"	0.0492182243523307	1	0.0492182243523307	0.955153984443015	0.805649211972865	1	0.670692362980408
"Gene16"	"Gene16"	0.499114183413683	63.9201783820436	65.6958838637439	1.05712961613559	1.1257760698801	1	1.04750945368372
"Gene17"	"Gene17"	0.173234812709411	1	0.173234812709411	1.06821677781255	0.971882762415338	1	1
"Gene18"	"Gene18"	5.57037079409602	1	5.57037079409602	1.07671968580447	1.02068337278553	1	1
"Gene19"	"Gene19"	2.71010271777045	1	2.71010271777045	0.950944215176613	0.875720968066974	1	1
"Gene20"	"Gene20"	1.15013219651198	1	1.15013219651198	1.17522537745041	1.03090829994815	1.34001316424591	1
"Gene21"	"Gene21"	0.501125459859855	1	0.501125459859855	0.857273497390723	0.982688443206047	1	1
"Gene22"	"Gene22"	2.32591899933958	1	2.32591899933958	1.13423650324955	0.869392549241718	1.30731721501188	1
"Gene23"	"Gene23"	1.16853493653384	1	1.16853493653384	0.855535863214219	0.984547989975155	1	1
"Gene24"	"Gene24"	3.62791780091404	1	3.62791780091404	1.29114400569604	1.02612424498827	1	1
"Gene25"	"Gene25"	7.29571541800393	1	7.29571541800393	1.09790776287991	1.32302721109216	1	1
"Gene26"	"Gene26"	2.86947711660553	1	2.86947711660553	1.13946210958477	0.804515143882439	1	1
