"Gene"	"BaseGeneMean"	"OutlierFactor"	"GeneMean"	"BatchFacBatch1"	"BatchFacBatch2"	"DEFacGroup1"	"DEFacGroup2"
"Gene1"	"Gene1"	0.862304416257657	1	0.862304416257657	0.967995629542183	0.998329377736454	1	1
"Gene2"	"Gene2"	1.24141234848165	1	1.24141234848165	0.932242432181666	0.877179497606579	1.69761600854532	1
"Gene3"	"Gene3"	0.166885429872937	1	0.166885429872937	1.24710813825097	0.889032197617089	1	1
"Gene4"	"Gene4"	0.961623908888615	1	0.961623908888615	1.08170766521731	0.821359937255653	1	1
"Gene5"	"Gene5"	0.779229496455226	1	0.779229496455226	0.839061986730447	1.19726143062705	1	1
"Gene6"	"Gene6"	1.95630010318713	1	1.95630010318713	1.12182976076033	0.960078830714483	1	1
"Gene7"	"Gene7"	1.68792320515721	1	1.68792320515721	0.871650567997912	0.927621128916064	1	1
"Gene8"	"Gene8"	3.76059229918099	1	3.76059229918099	1.19181944662253	0.961256472571601	1	1
"Gene9"	"Gene9"	4.79331536124592	1	4.79331536124592	0.875484597205273	0.934378860277399	1	1.74774791008994
"Gene10"	"Gene10"	0.0702579936706468	57.105335857111	58.4815570718082	0.966352747095856	0.984160307150948	1	1
"Gene11"	"Gene11"	3.29719441274746	1	3.29719441274746	0.838497910619547	0.904261880404329	1	1
"Gene12"	"Gene12"	0.00781424930743146	1	0.00781424930743146	0.986622847004969	0.968668334395274	1	1
"Gene13"	"Gene13"	1.47733669717255	1	1.47733669717255	0.845467118723341	1.16760783574554	1	1
"Gene14"	"Gene14"	1.71264241350385	40.4322286023057	41.4066330064618	0.901841675062326	1.17040623488851	1	1
"Gene15"	"Gene15"	6.87459634787881	1	6.87459634787881	1.17339918334169	0.785460548235492	1	1
"Gene16"	"Gene16"	0.187927019490454	1	0.187927019490454	0.936970567792866	0.934749590088359	0.487902299140148	0.671164243476181
"Gene17"	"Gene17"	1.39982270999302	1	1.39982270999302	1.02043747314141	1.06321178060066	1	1
"Gene18"	"Gene18"	3.49600205318341	1	3.49600205318341	1.03281062220642	0.990454830812201	1	1
"Gene19"	"Gene19"	1.9538332620345	1	1.9538332620345	0.969447775654076	1.07976559028217	1	1
"Gene20"	"Gene20"	7.04427396085302	1	7.04427396085302	1.22973409349866	0.971471469519842	1	1
"Gene21"	"Gene21"	5.6940369887864	1	5.6940369887864	1.18932246057456	1.1891224693404	1	1
"Gene22"	"Gene22"	0.545822785055794	1	0.545822785055794	1.17348139642055	1.20268121681828	0.679745171504517	1
"Gene23"	"Gene23"	0.764330445977956	1	0.764330445977956	0.836627926381247	1.17355112156355	1	1
"Gene24"	"Gene24"	3.80733290118026	1	3.80733290118026	0.898126244113082	0.982220438981036	1	1
"Gene25"	"Gene25"	1.37440601357895	1	1.37440601357895	0.908596992121561	0.95841659404239	1	1
"Gene26"	"Gene26"	0.173902914250497	1	0.173902914250497	0.890890747002549	1.03560448455828	0.463942532688816	1
"Gene27"	"Gene27"	0.55636150158032	1	0.55636150158032	0.895016229112113	1.14025223216225	1	1
"Gene28"	"Gene28"	1.24820110001396	1	1.24820110001396	1.22509495807342	1.14560718891763	1	0.786519370631799
"Gene29"	"Gene29"	0.534923480597954	1	0.534923480597954	0.896157498710251	0.715623163274265	1	1
"Gene30"	"Gene30"	1.32708978209088	1	1.32708978209088	1.03329042803255	0.839631806303744	1	1
"Gene31"	"Gene31"	0.00984291983746194	1	0.00984291983746194	0.948687421281435	0.780936512671564	1	1
"Gene32"	"Gene32"	1.7687251527258	1	1.7687251527258	0.931149903093536	1.33019212479646	1	1
"Gene33"	"Gene33"	0.0216319943142746	1	0.0216319943142746	0.964513807231215	0.967364717136116	1	1
"Gene34"	"Gene34"	1.44686544134873	1	1.44686544134873	1.06882695676456	0.921403509724467	1	1
"Gene35"	"Gene35"	0.0195151838689442	1	0.0195151838689442	1.18460514409557	0.801952045638436	1	1
"Gene36"	"Gene36"	0.00250240423877654	1	0.00250240423877654	1.05207649428011	1.05594071164021	1	1
"Gene37"	"Gene37"	1.28772930584816	1	1.28772930584816	0.807787872496172	0.774647521647003	1	1
"Gene38"	"Gene38"	0.280500456575283	1	0.280500456575283	0.900471900179741	0.934164645094026	1.58618382794653	1
"Gene39"	"Gene39"	0.0998534378862195	1	0.0998534378862195	1.25022576116012	1.1609909420695	1	1
"Gene40"	"Gene40"	0.236238947764853	1	0.236238947764853	1.10540149457096	0.837157739061585	2.32084785954349	1
"Gene41"	"Gene41"	4.88566918258217	1	4.88566918258217	0.998255733356236	0.885576609173494	1	1
"Gene42"	"Gene42"	1.03720365455042	1	1.03720365455042	1.08915564219996	1.32363754205865	1	1
"Gene43"	"Gene43"	0.00158286917411146	1	0.00158286917411146	0.986075544531748	0.840893806174493	1	1
"Gene44"	"Gene44"	5.28761221897126	1	5.28761221897126	0.939052853010789	0.85512752630394	1	1
"Gene45"	"Gene45"	2.98620679384364	1	2.98620679384364	0.837413579661619	0.829215552833865	1	1.70471933387645
"Gene46"	"Gene46"	7.25216511671149	1	7.25216511671149	1.08314712863412	1.1875581399814	1	1
"Gene47"	"Gene47"	3.0298766192116	1	3.0298766192116	0.867626565256686	0.909830951666803	0.542953053228921	1
"Gene48"	"Gene48"	3.51788384467517	1	3.51788384467517	1.18425205030874	0.94831693819537	1	1
"Gene49"	"Gene49"	0.114697668616893	1	0.114697668616893	1.16801146323404	1.03231365060296	1	1
"Gene50"	"Gene50"	0.238083718119372	1	0.238083718119372	0.937651897480337	0.811171987762688	1	1.77678020321724
"Gene51"	"Gene51"	0.26624329519028	70.3754597421381	72.07148690383	1.04722966260591	0.92785841396193	1	1
"Gene52"	"Gene52"	4.36657720740357	1	4.36657720740357	0.984285439502947	0.909283115352454	1	1
"Gene53"	"Gene53"	1.44201371736825	1	1.44201371736825	1.13192050235925	0.983624749622586	1	1
"Gene54"	"Gene54"	0.00781669883701398	1	0.00781669883701398	1.00448819855643	1.07670155854695	1	1
"Gene55"	"Gene55"	0.0302617208482967	1	0.0302617208482967	0.799520302312496	1.05396300758738	1	1
"Gene56"	"Gene56"	0.187900648696188	1	0.187900648696188	1.15971616618689	0.892092491750608	0.747141133406183	1
"Gene57"	"Gene57"	0.00684159079473952	1	0.00684159079473952	0.717612414209223	1.04154201533281	1	1
"Gene58"	"Gene58"	0.010670985226466	1	0.010670985226466	1.07322163504571	0.810827774022316	1.56073123109357	1
"Gene59"	"Gene59"	7.50936127637596	1	7.50936127637596	0.772054225240116	1.23131186955941	1	0.451981929438767
"Gene60"	"Gene60"	0.0293736238808164	1	0.0293736238808164	1.05612163787356	0.912748622454406	1	1
"Gene61"	"Gene61"	0.0250142146151122	1	0.0250142146151122	0.883118528364947	1.24686082625485	1	1
"Gene62"	"Gene62"	0.19580257374067	1	0.19580257374067	1.27057751960753	0.964306704457648	1	1
"Gene63"	"Gene63"	1.94155655731368	1	1.94155655731368	0.78930793041376	1.27983247650292	0.536049463741478	1
"Gene64"	"Gene64"	0.00684708753900103	1	0.00684708753900103	0.764248943165063	0.821106595308491	1	1
"Gene65"	"Gene65"	0.0530649324184308	1	0.0530649324184308	1.16077822785761	1.07756015174191	1	1
"Gene66"	"Gene66"	7.49045620434198	1	7.49045620434198	0.875650421651061	1.08237437238843	1	1
"Gene67"	"Gene67"	1.42668246056398	1	1.42668246056398	1.44358391656023	0.85457989602939	1	1
"Gene68"	"Gene68"	3.46232675069816	1	3.46232675069816	0.847822013015305	1.04638928195864	1	0.591096832496384
"Gene69"	"Gene69"	0.12722794442465	1	0.12722794442465	0.971779051472385	0.771999984277686	1	1
"Gene70"	"Gene70"	0.296239128345674	1	0.296239128345674	1.00667638349527	0.9384203580293	1	1
"Gene71"	"Gene71"	2.82345588856765	1	2.82345588856765	1.11214713976493	1.28710115299765	1	1
"Gene72"	"Gene72"	0.572450847068293	1	0.572450847068293	1.14922763030897	1.05817002044821	1	1
"Gene73"	"Gene73"	0.540703409059093	1	0.540703409059093	1.18411756844316	0.996163927097034	1	2.10021173521637
"Gene74"	"Gene74"	7.8628678479605	1	7.8628678479605	1.03257056266924	1.14487751949448	1.15014522853394	1.3879596657887
"Gene75"	"Gene75"	0.100633313990058	1	0.100633313990058	0.99201227409841	1.17542609244217	1	1
"Gene76"	"Gene76"	1.22801433691021	1	1.22801433691021	0.921833571676889	1.13753069839107	1	1
"Gene77"	"Gene77"	0.112523761810886	1	0.112523761810886	0.965500060688477	1.11262478401453	1	1
"Gene78"	"Gene78"	4.82047865358963	1	4.82047865358963	1.26330600524971	0.976552081787196	1	1
"Gene79"	"Gene79"	0.0938391186284593	1	0.0938391186284593	0.653206494066353	1.11012613253592	2.26413142401062	1
"Gene80"	"Gene80"	1.74758504315726	1	1.74758504315726	1.00424508518922	0.846492132569935	1	1
"Gene81"	"Gene81"	2.18533404475304	1	2.18533404475304	0.755287817566905	1.17372574699883	1	1
"Gene82"	"Gene82"	1.36823886912469	1	1.36823886912469	1.03441582056452	0.928512020220398	1	1
"Gene83"	"Gene83"	0.425678824566156	1	0.425678824566156	1.26439352731978	1.01595632884015	0.47081462369943	1
"Gene84"	"Gene84"	1.03617935371939	1	1.03617935371939	0.733172586784546	1.25763904090895	1	1.11595590376119
"Gene85"	"Gene85"	0.22210846864876	1	0.22210846864876	0.898561692919439	0.992402871694477	1	1
"Gene86"	"Gene86"	2.03135060487336	1	2.03135060487336	1.14376729521225	1.09379751915984	1.70677784595517	0.535029313067381
"Gene87"	"Gene87"	0.0811788174191503	1	0.0811788174191503	0.864751293286065	1.13591596007671	1	1
"Gene88"	"Gene88"	0.359181725784266	1	0.359181725784266	0.881698280062655	0.848766707894756	1	1
"Gene89"	"Gene89"	0.287722610203234	1	0.287722610203234	1.02620023826741	0.91734240374121	1	1
"Gene90"	"Gene90"	0.179096435600872	1	0.179096435600872	0.957382696875518	1.11919971666804	1	1
"Gene91"	"Gene91"	0.708272955199484	1	0.708272955199484	0.934930206973388	1.02762155671448	1	1
"Gene92"	"Gene92"	2.95357516949539	47.729882734225	48.8801583819895	0.909619352506631	1.04745450599737	1	1
"Gene93"	"Gene93"	0.69428759830933	1	0.69428759830933	0.896017337433324	1.09746681437472	1	1
